Tag,YearRank,QuestionsInYear,QuestionsTotal
"c#","1","46025","1062406"
"java","2","24014","1214797"
".net","3","23080","247916"
"php","4","20449","1040602"
"asp.net","5","20128","309940"
"javascript","6","18670","1327664"
"c++","7","15753","499446"
"jquery","8","14466","817718"
"iphone","9","13324","216824"
"python","10","12896","706350"
"sql","11","11785","373412"
"html","12","9344","626515"
"mysql","13","9336","447347"
"sql-server","14","9036","192125"
"asp.net-mvc","15","7662","150653"
"wpf","16","6989","127964"
"ruby-on-rails","17","6946","268079"
"c","18","6784","243086"
"css","19","6782","451330"
"objective-c","20","6305","273517"
"windows","21","5475","106030"
"xml","22","5298","153172"
"ruby","23","5200","177238"
"vb.net","24","5020","107891"
"database","25","4644","124801"
"visual-studio","26","4603","65074"
"winforms","27","4528","72477"
"regex","28","4313","162434"
"ajax","29","4094","163695"
"visual-studio-2008","30","3914","15712"
"django","31","3895","137510"
"linux","32","3702","141023"
"performance","33","3644","67954"
"multithreading","34","3445","94678"
"linq","35","3421","62334"
"flex","36","3294","24483"
"wcf","37","3188","46899"
"cocoa-touch","38","3100","33937"
"flash","39","3055","34458"
"string","40","3025","109132"
"sql-server-2005","41","3017","18137"
"cocoa","42","3007","36334"
"web-services","43","2973","54685"
"arrays","44","2745","214466"
"silverlight","45","2733","27694"
"oracle","46","2695","80619"
"perl","47","2688","55056"
"algorithm","48","2678","73140"
"delphi","49","2677","38167"
"actionscript-3","50","2671","40466"
"sharepoint","51","2638","21630"
"security","52","2578","40470"
"svn","53","2529","24351"
"osx","54","2515","75327"
"tsql","55","2392","43474"
"linq-to-sql","56","2387","13584"
"user-interface","57","2363","38772"
"eclipse","58","2359","104598"
"nhibernate","59","2283","18074"
"unit-testing","60","2275","47432"
"debugging","61","2272","34906"
"oop","62","2218","39745"
"winapi","63","2191","29031"
"image","64","2053","78413"
"internet-explorer","65","1984","34910"
"android","66","1977","953922"
"excel","67","1874","114029"
"design","68","1815","18929"
"apache","69","1807","70147"
"design-patterns","70","1775","23219"
"file","71","1766","51362"
"forms","72","1734","79300"
"validation","73","1696","47354"
"events","74","1629","27830"
"git","75","1609","82002"
"hibernate","76","1591","61489"
"xcode","77","1573","111508"
"generics","78","1564","29468"
"http","79","1562","40857"
"json","80","1550","187886"
"ms-access","81","1545","32853"
"data-binding","82","1526","16971"
"parsing","83","1524","38551"
"iis","84","1516","26534"
"xaml","85","1481","43636"
"language-agnostic","86","1470","7612"
"database-design","87","1443","17996"
"entity-framework","88","1435","65312"
"version-control","89","1397","13219"
"email","90","1370","42252"
"exception","91","1366","27864"
"sockets","92","1336","46038"
"visual-c++","93","1332","23662"
"firefox","94","1327","29863"
"unix","95","1299","33844"
"optimization","96","1294","22560"
"datetime","97","1293","36212"
"zend-framework","98","1270","20017"
"swing","99","1267","65127"
"class","100","1263","47127"
"list","101","1252","61559"
"bash","102","1250","80001"
"xslt","103","1230","27176"
"spring","104","1228","104714"
"caching","105","1218","27126"
"math","106","1213","26463"
"sql-server-2008","107","1198","49066"
"authentication","108","1193","30925"
"reflection","109","1179","17732"
"templates","110","1178","34834"
"api","111","1178","50900"
"qt","112","1173","56660"
"networking","113","1170","24323"
"session","114","1167","34679"
"testing","115","1162","26563"
"vba","116","1159","76656"
"web-applications","117","1159","17056"
"shell","118","1131","52955"
"google-app-engine","119","1118","37873"
"stored-procedures","120","1113","24898"
"deployment","121","1105","15631"
".net-3.5","122","1089","5741"
"memory-management","123","1089","20420"
"dom","124","1081","26765"
"scripting","125","1081","11254"
"sqlite","126","1077","53640"
"function","127","1056","54689"
"serialization","128","1049","22278"
"architecture","129","1043","11745"
"search","130","1042","26212"
"inheritance","131","1039","27523"
"com","132","1036","9934"
"browser","133","1032","19089"
"postgresql","134","1011","65375"
"sorting","135","1010","43111"
"vim","136","1007","20794"
"url","137","1003","30405"
"jsp","138","1002","43676"
"logging","139","991","23818"
"pdf","140","982","30553"
"model-view-controller","141","981","22283"
"gridview","142","974","23046"
"memory","143","973","23692"
"dll","144","956","18986"
"reporting-services","145","939","17541"
"ado.net","146","905","8088"
"configuration","147","886","12337"
"vb6","148","882","9022"
"mod-rewrite","149","878","27488"
"user-controls","150","869","8895"
"pointers","151","868","34400"
"data-structures","152","862","18183"
"uitableview","153","860","50392"
"tomcat","154","860","31946"
"java-ee","155","859","25999"
"compiler-construction","156","858","9816"
"rest","157","858","51922"
"command-line","158","848","15687"
"maven-2","159","839","5390"
"unicode","160","837","17293"
"date","161","830","42764"
".htaccess","162","824","55689"
"collections","163","822","15877"
"plugins","164","822","18324"
"jquery-ui","165","822","36495"
"orm","166","820","13474"
"asp-classic","167","820","10341"
"actionscript","168","812","8956"
"encryption","169","812","23044"
"windows-mobile","170","805","3264"
"visual-studio-2005","171","799","3142"
"file-io","172","799","17618"
"emacs","173","795","14931"
"variables","174","792","34202"
"audio","175","783","24945"
"types","176","777","14740"
"wordpress","177","776","108340"
"activerecord","178","772","22911"
"facebook","179","768","77362"
"drupal","180","764","17761"
"gcc","181","763","25508"
"graphics","182","761","15062"
"cakephp","183","756","27829"
"opengl","184","752","27941"
"syntax","185","751","14082"
"tfs","186","747","14738"
"stl","187","740","11327"
"xhtml","188","739","6217"
"cookies","189","739","23132"
"interface","190","733","12845"
"properties","191","727","12919"
"powershell","192","715","42698"
"ide","193","714","7884"
"batch-file","194","713","34995"
"mfc","195","712","10086"
"object","196","708","33166"
"datagridview","197","697","15208"
"coding-style","198","695","6868"
"frameworks","199","693","9237"
"subsonic","200","693","1223"
"xpath","201","690","22541"
"msbuild","202","688","9801"
"listview","203","686","41014"
"open-source","204","682","3593"
"encoding","205","680","16383"
"text","206","675","20150"
"dynamic","207","666","19074"
"binding","208","664","12899"
"iis-7","209","664","9230"
"windows-vista","210","663","1589"
"soap","211","661","21177"
"boost","212","661","20027"
"compact-framework","213","659","3014"
"printing","214","659","15599"
"documentation","215","653","6448"
"ssl","216","652","28995"
"join","217","651","25455"
"iphone-sdk-3.0","218","650","2830"
"flex3","219","649","2807"
"process","220","647","12860"
"google-maps","221","644","49482"
"gwt","222","640","19938"
"ant","223","640","13795"
"redirect","224","636","28804"
"asp.net-ajax","225","635","4395"
"indexing","226","627","18672"
"xsd","227","627","11027"
"hash","228","625","16866"
"django-models","229","623","15857"
"windows-services","230","621","6953"
"mvvm","231","620","19463"
"silverlight-3.0","232","616","1538"
"sharepoint-2007","233","615","3105"
"scala","234","615","62757"
"video","235","615","24290"
"iframe","236","615","23673"
"datagrid","237","615","12350"
"exception-handling","238","615","12329"
"uikit","239","614","5945"
"netbeans","240","613","19700"
"layout","241","612","20587"
"installation","242","610","9635"
"loops","243","610","44617"
"grails","244","608","26503"
"jdbc","245","607","21609"
"crystal-reports","246","603","9915"
"animation","247","603","29462"
"matlab","248","601","68882"
"concurrency","249","599","13666"
"refactoring","250","599","5545"
"interop","251","598","4613"
"select","252","597","26366"
"servlets","253","594","27641"
".net-2.0","254","592","2503"
"assembly","255","590","23789"
"java-me","256","583","5867"
"localization","257","581","9908"
"blackberry","258","581","8700"
"transactions","259","577","10926"
"enums","260","574","13163"
"jpa","261","572","29082"
"fluent-nhibernate","262","567","5603"
"controls","263","567","3182"
"parameters","264","565","13434"
"memory-leaks","265","558","14389"
"event-handling","266","556","8452"
"core-data","267","554","23359"
"coldfusion","268","554","11341"
"reference","269","554","11465"
"lambda","270","551","15081"
"programming-languages","271","549","3831"
"dictionary","272","549","30362"
"ssis","273","549","12411"
"jsf","274","542","31861"
"post","275","541","26227"
"vbscript","276","539","14611"
"image-processing","277","536","24425"
"resources","278","534","7416"
"error-handling","279","531","13830"
"casting","280","530","12730"
"asynchronous","281","526","25708"
"r","282","524","171689"
"service","283","520","16677"
"air","284","520","7643"
"combobox","285","519","13349"
"ms-word","286","518","10673"
"installer","287","516","5087"
"ios","288","516","492800"
"formatting","289","512","8190"
"f#","290","511","10860"
"webforms","291","510","11430"
"javascript-events","292","508","13713"
"active-directory","293","507","9686"
"jboss","294","506","12154"
"haskell","295","506","31556"
"windows-7","296","504","10430"
"internationalization","297","503","8371"
"64bit","298","499","5086"
"static","299","499","11354"
"delegates","300","497","8753"
"iis-6","301","496","2874"
"permissions","302","492","10998"
"internet-explorer-6","303","491","2139"
"plsql","304","490","14941"
"functional-programming","305","490","9986"
"listbox","306","489","9332"
"random","307","489","20199"
"recursion","308","489","24539"
"dependency-injection","309","488","14064"
"c#-3.0","310","487","3392"
"namespaces","311","487","8903"
"button","312","485","26214"
"excel-vba","313","481","57481"
"codeigniter","314","480","51275"
"windows-installer","315","478","6102"
"utf-8","316","478","15506"
"linker","317","475","9385"
"cross-browser","318","474","7739"
"csv","319","472","42157"
"drop-down-menu","320","472","16421"
"tcp","321","472","15051"
"build-process","322","467","2322"
"groovy","323","464","16764"
"character-encoding","324","463","10979"
