date,javascript,java,android,php,python,Csharp,html,jquery,ios
2008-8,8,1,0,8,9,8,1,1,1
2008-9,45,15,1,30,27,48,8,5,5
2008-10,41,38,0,27,26,60,8,24,24
2008-11,38,34,1,29,30,56,6,22,22
2008-12,42,27,0,31,33,47,7,19,19
2009-1,53,34,5,46,38,102,13,35,35
2009-2,72,55,5,50,51,110,18,55,55
2009-3,76,58,5,52,54,158,24,48,48
2009-4,69,54,2,64,80,162,12,64,64
2009-5,106,59,15,74,83,132,16,118,118
2009-6,111,101,17,127,109,160,19,162,162
2009-7,145,92,25,167,69,171,35,166,166
2009-8,135,87,42,162,84,235,34,201,201
2009-9,122,106,45,174,93,247,30,201,201
2009-10,155,138,42,188,123,212,25,227,227
2009-11,171,163,58,264,141,213,35,210,210
2009-12,199,132,148,287,143,225,39,202,202
2010-1,219,233,261,365,193,267,48,279,279
2010-2,205,204,285,283,121,231,39,236,236
2010-3,179,273,327,347,175,323,39,337,337
2010-4,237,192,327,285,114,331,34,342,342
2010-5,257,242,360,373,149,340,49,315,315
2010-6,318,236,521,379,187,412,56,399,399
2010-7,295,293,663,442,257,474,65,416,416
2010-8,348,266,768,559,248,478,59,487,487
2010-9,323,321,760,462,179,383,76,436,436
2010-10,324,398,813,428,244,412,66,489,489
2010-11,397,379,802,513,254,425,74,482,482
2010-12,386,388,862,512,237,369,75,496,496
2011-1,368,384,915,592,208,420,81,557,557
2011-2,433,390,1202,606,308,384,66,572,572
2011-3,556,620,1499,764,346,484,84,667,667
2011-4,556,577,1580,680,335,483,88,600,600
2011-5,560,540,1484,663,300,466,69,645,645
2011-6,551,458,1278,625,287,411,69,614,614
2011-7,566,379,1215,707,358,381,64,723,723
2011-8,659,442,1306,759,378,484,94,809,809
2011-9,600,471,1394,650,344,383,72,743,743
2011-10,568,561,1276,660,338,389,86,702,702
2011-11,610,604,1355,635,375,354,74,745,745
2011-12,574,533,1260,669,379,416,78,721,721
2012-1,599,537,1260,693,414,451,67,750,750
2012-2,654,639,1428,788,405,431,78,877,877
2012-3,689,749,1567,853,477,518,81,895,895
2012-4,681,776,1349,754,489,490,91,794,794
2012-5,745,596,1329,915,482,563,82,851,851
2012-6,719,566,1245,837,458,503,79,843,843
2012-7,750,721,1551,942,455,634,98,882,882
2012-8,779,686,1265,892,488,579,76,935,935
2012-9,703,654,1273,917,498,559,84,756,756
2012-10,771,865,1282,925,590,669,84,821,821
2012-11,782,808,1277,911,624,552,100,810,810
2012-12,751,745,1281,855,538,525,84,794,794
2013-1,905,776,1410,1081,572,554,81,852,852
2013-2,879,906,1300,942,596,647,95,774,774
2013-3,911,1028,1334,1056,660,709,102,912,912
2013-4,1002,1064,1308,987,689,654,98,952,952
2013-5,868,804,1173,947,630,608,93,866,866
2013-6,960,827,1172,909,583,538,99,876,876
2013-7,1077,897,1436,994,751,612,130,1013,1013
2013-8,964,891,1308,1012,600,617,100,910,910
2013-9,974,1109,1121,958,636,569,73,878,878
2013-10,1133,1458,1266,1129,874,611,102,799,799
2013-11,991,1318,1119,1023,729,601,96,697,697
2013-12,957,1098,1111,976,718,581,90,628,628
2014-1,1053,942,1248,1052,733,684,109,671,671
2014-2,1097,1128,1135,1206,780,709,112,690,690
2014-3,1121,1315,1443,1279,940,741,127,741,741
2014-4,1016,1257,1413,1210,877,698,103,671,671
2014-5,855,918,1099,914,596,573,88,617,617
2014-6,818,813,909,815,623,497,80,585,585
2014-7,868,934,1084,868,710,575,98,534,534
2014-8,870,894,1022,825,669,514,82,550,550
2014-9,835,1076,938,791,699,523,82,526,526
2014-10,890,1274,892,812,739,508,87,563,563
2014-11,849,1120,946,770,783,501,81,494,494
2014-12,757,992,940,778,623,480,93,460,460
2015-1,885,1021,996,844,649,493,73,463,463
2015-2,830,1073,1016,787,785,508,103,475,475
2015-3,954,1344,1077,884,888,596,101,517,517
2015-4,930,1212,1137,810,863,578,91,495,495
2015-5,998,995,1097,741,803,589,88,426,426
2015-6,945,1044,1041,828,834,575,75,463,463
2015-7,1047,961,1234,930,867,687,87,457,457
2015-8,967,835,1105,874,750,550,74,458,458
2015-9,917,1140,1114,814,844,560,99,417,417
2015-10,1002,1388,1147,863,1057,642,98,420,420
2015-11,1011,1340,1015,823,880,639,78,370,370
2015-12,1043,1081,983,800,866,579,88,419,419
2016-1,1026,998,983,917,778,559,114,412,412
2016-2,1058,1197,1030,967,943,609,114,406,406
2016-3,1157,1411,1424,1071,1134,726,110,417,417
2016-4,1156,1371,1361,1009,1019,750,108,395,395
2016-5,1195,1066,1293,1025,829,666,102,394,394
2016-6,1099,896,1295,922,911,685,105,375,375
2016-7,1067,737,1208,829,830,660,95,381,381
2016-8,1062,779,1113,786,859,601,92,395,395
2016-9,986,951,1072,860,901,586,86,341,341
2016-10,1018,1078,996,885,1047,611,99,385,385
2016-11,1146,1012,900,770,1068,616,94,346,346
2016-12,978,802,857,771,842,598,95,347,347
2017-1,1068,777,1046,861,900,583,79,353,353
2017-2,1183,1137,994,902,1067,678,115,359,359
