Year,Month,MonthNum,Tags
2008,7,1,0
2008,8,2,1
2008,9,3,0
2008,10,4,1
2008,11,5,0
2008,12,6,5
2009,1,7,5
2009,2,8,5
2009,3,9,2
2009,4,10,15
2009,5,11,17
2009,6,12,25
2009,7,13,42
2009,8,14,45
2009,9,15,42
2009,10,16,58
2009,11,17,148
2009,12,18,261
2010,1,19,285
2010,2,20,327
2010,3,21,327
2010,4,22,360
2010,5,23,521
2010,6,24,663
2010,7,25,768
2010,8,26,760
2010,9,27,813
2010,10,28,802
2010,11,29,862
2010,12,30,915
2011,1,31,1202
2011,2,32,1499
2011,3,33,1580
2011,4,34,1484
2011,5,35,1278
2011,6,36,1215
2011,7,37,1306
2011,8,38,1394
2011,9,39,1276
2011,10,40,1355
2011,11,41,1260
2011,12,42,1260
2012,1,43,1428
2012,2,44,1567
2012,3,45,1349
2012,4,46,1329
2012,5,47,1245
2012,6,48,1551
2012,7,49,1265
2012,8,50,1273
2012,9,51,1282
2012,10,52,1277
2012,11,53,1281
2012,12,54,1410
2013,1,55,1300
2013,2,56,1334
2013,3,57,1308
2013,4,58,1173
2013,5,59,1172
2013,6,60,1436
2013,7,61,1308
2013,8,62,1121
2013,9,63,1266
2013,10,64,1119
2013,11,65,1111
2013,12,66,1248
2014,1,67,1135
2014,2,68,1443
2014,3,69,1413
2014,4,70,1099
2014,5,71,909
2014,6,72,1084
2014,7,73,1022
2014,8,74,938
2014,9,75,892
2014,10,76,946
2014,11,77,940
2014,12,78,996
2015,1,79,1016
2015,2,80,1077
2015,3,81,1137
2015,4,82,1097
2015,5,83,1041
2015,6,84,1234
2015,7,85,1105
2015,8,86,1114
2015,9,87,1147
2015,10,88,1015
2015,11,89,983
2015,12,90,983
2016,1,91,1030
2016,2,92,1424
2016,3,93,1361
2016,4,94,1293
2016,5,95,1295
2016,6,96,1208
2016,7,97,1113
2016,8,98,1072
2016,9,99,996
2016,10,100,900
2016,11,101,857
2016,12,102,1046
2017,1,103,994
2017,2,104,
