Year,Month,MonthNum,Tags
2008,7,1,0
2008,8,2,0
2008,9,3,0
2008,10,4,0
2008,11,5,0
2008,12,6,0
2009,1,7,0
2009,2,8,0
2009,3,9,0
2009,4,10,0
2009,5,11,0
2009,6,12,0
2009,7,13,0
2009,8,14,0
2009,9,15,0
2009,10,16,0
2009,11,17,0
2009,12,18,0
2010,1,19,0
2010,2,20,0
2010,3,21,0
2010,4,22,0
2010,5,23,0
2010,6,24,0
2010,7,25,0
2010,8,26,0
2010,9,27,0
2010,10,28,0
2010,11,29,0
2010,12,30,0
2011,1,31,0
2011,2,32,0
2011,3,33,0
2011,4,34,0
2011,5,35,0
2011,6,36,0
2011,7,37,0
2011,8,38,0
2011,9,39,0
2011,10,40,0
2011,11,41,0
2011,12,42,0
2012,1,43,0
2012,2,44,2
2012,3,45,0
2012,4,46,8
2012,5,47,18
2012,6,48,20
2012,7,49,39
2012,8,50,44
2012,9,51,61
2012,10,52,96
2012,11,53,98
2012,12,54,147
2013,1,55,157
2013,2,56,172
2013,3,57,212
2013,4,58,228
2013,5,59,214
2013,6,60,282
2013,7,61,298
2013,8,62,282
2013,9,63,307
2013,10,64,329
2013,11,65,303
2013,12,66,367
2014,1,67,365
2014,2,68,428
2014,3,69,391
2014,4,70,439
2014,5,71,382
2014,6,72,480
2014,7,73,432
2014,8,74,461
2014,9,75,470
2014,10,76,481
2014,11,77,388
2014,12,78,413
2015,1,79,432
2015,2,80,539
2015,3,81,537
2015,4,82,520
2015,5,83,565
2015,6,84,628
2015,7,85,518
2015,8,86,541
2015,9,87,514
2015,10,88,498
2015,11,89,517
2015,12,90,575
2016,1,91,537
2016,2,92,654
2016,3,93,632
2016,4,94,565
2016,5,95,530
2016,6,96,519
2016,7,97,563
2016,8,98,508
2016,9,99,452
2016,10,100,445
2016,11,101,407
2016,12,102,477
2017,1,103,420
2017,2,104,
