Year,Month,MonthNum,Tags
2008,7,1,8
2008,8,2,48
2008,9,3,60
2008,10,4,56
2008,11,5,47
2008,12,6,102
2009,1,7,110
2009,2,8,158
2009,3,9,162
2009,4,10,132
2009,5,11,160
2009,6,12,171
2009,7,13,235
2009,8,14,247
2009,9,15,212
2009,10,16,213
2009,11,17,225
2009,12,18,267
2010,1,19,231
2010,2,20,323
2010,3,21,331
2010,4,22,340
2010,5,23,412
2010,6,24,474
2010,7,25,478
2010,8,26,383
2010,9,27,412
2010,10,28,425
2010,11,29,369
2010,12,30,420
2011,1,31,384
2011,2,32,484
2011,3,33,483
2011,4,34,466
2011,5,35,411
2011,6,36,381
2011,7,37,484
2011,8,38,383
2011,9,39,389
2011,10,40,354
2011,11,41,416
2011,12,42,451
2012,1,43,431
2012,2,44,518
2012,3,45,490
2012,4,46,563
2012,5,47,503
2012,6,48,634
2012,7,49,579
2012,8,50,559
2012,9,51,669
2012,10,52,552
2012,11,53,525
2012,12,54,554
2013,1,55,647
2013,2,56,709
2013,3,57,654
2013,4,58,608
2013,5,59,538
2013,6,60,612
2013,7,61,617
2013,8,62,569
2013,9,63,611
2013,10,64,601
2013,11,65,581
2013,12,66,684
2014,1,67,709
2014,2,68,741
2014,3,69,698
2014,4,70,573
2014,5,71,497
2014,6,72,575
2014,7,73,514
2014,8,74,523
2014,9,75,508
2014,10,76,501
2014,11,77,480
2014,12,78,493
2015,1,79,508
2015,2,80,596
2015,3,81,578
2015,4,82,589
2015,5,83,575
2015,6,84,687
2015,7,85,550
2015,8,86,560
2015,9,87,642
2015,10,88,639
2015,11,89,579
2015,12,90,559
2016,1,91,609
2016,2,92,726
2016,3,93,750
2016,4,94,666
2016,5,95,685
2016,6,96,660
2016,7,97,601
2016,8,98,586
2016,9,99,611
2016,10,100,616
2016,11,101,598
2016,12,102,583
2017,1,103,678
2017,2,104,
