Year,Month,MonthNum,Tags
2008,7,1,3
2008,8,2,25
2008,9,3,16
2008,10,4,14
2008,11,5,12
2008,12,6,21
2009,1,7,35
2009,2,8,36
2009,3,9,34
2009,4,10,42
2009,5,11,52
2009,6,12,51
2009,7,13,61
2009,8,14,59
2009,9,15,61
2009,10,16,93
2009,11,17,69
2009,12,18,89
2010,1,19,86
2010,2,20,112
2010,3,21,104
2010,4,22,123
2010,5,23,123
2010,6,24,128
2010,7,25,172
2010,8,26,147
2010,9,27,137
2010,10,28,145
2010,11,29,115
2010,12,30,126
2011,1,31,166
2011,2,32,164
2011,3,33,169
2011,4,34,193
2011,5,35,191
2011,6,36,176
2011,7,37,228
2011,8,38,223
2011,9,39,181
2011,10,40,201
2011,11,41,186
2011,12,42,198
2012,1,43,242
2012,2,44,227
2012,3,45,205
2012,4,46,221
2012,5,47,235
2012,6,48,223
2012,7,49,242
2012,8,50,188
2012,9,51,263
2012,10,52,273
2012,11,53,225
2012,12,54,268
2013,1,55,247
2013,2,56,274
2013,3,57,293
2013,4,58,258
2013,5,59,272
2013,6,60,298
2013,7,61,305
2013,8,62,258
2013,9,63,265
2013,10,64,260
2013,11,65,238
2013,12,66,260
2014,1,67,265
2014,2,68,276
2014,3,69,279
2014,4,70,245
2014,5,71,197
2014,6,72,217
2014,7,73,200
2014,8,74,216
2014,9,75,224
2014,10,76,188
2014,11,77,193
2014,12,78,199
2015,1,79,205
2015,2,80,228
2015,3,81,228
2015,4,82,217
2015,5,83,220
2015,6,84,208
2015,7,85,242
2015,8,86,205
2015,9,87,190
2015,10,88,199
2015,11,89,200
2015,12,90,168
2016,1,91,202
2016,2,92,215
2016,3,93,207
2016,4,94,203
2016,5,95,169
2016,6,96,178
2016,7,97,174
2016,8,98,149
2016,9,99,161
2016,10,100,183
2016,11,101,155
2016,12,102,182
2017,1,103,185
2017,2,104,
