Year,Month,MonthNum,Tags
2008,7,1,1
2008,8,2,5
2008,9,3,24
2008,10,4,22
2008,11,5,19
2008,12,6,35
2009,1,7,55
2009,2,8,48
2009,3,9,64
2009,4,10,118
2009,5,11,162
2009,6,12,166
2009,7,13,201
2009,8,14,201
2009,9,15,227
2009,10,16,210
2009,11,17,202
2009,12,18,279
2010,1,19,236
2010,2,20,337
2010,3,21,342
2010,4,22,315
2010,5,23,399
2010,6,24,416
2010,7,25,487
2010,8,26,436
2010,9,27,489
2010,10,28,482
2010,11,29,496
2010,12,30,557
2011,1,31,572
2011,2,32,667
2011,3,33,600
2011,4,34,645
2011,5,35,614
2011,6,36,723
2011,7,37,809
2011,8,38,743
2011,9,39,702
2011,10,40,745
2011,11,41,721
2011,12,42,750
2012,1,43,877
2012,2,44,895
2012,3,45,794
2012,4,46,851
2012,5,47,843
2012,6,48,882
2012,7,49,935
2012,8,50,756
2012,9,51,821
2012,10,52,810
2012,11,53,794
2012,12,54,852
2013,1,55,774
2013,2,56,912
2013,3,57,952
2013,4,58,866
2013,5,59,876
2013,6,60,1013
2013,7,61,910
2013,8,62,878
2013,9,63,799
2013,10,64,697
2013,11,65,628
2013,12,66,671
2014,1,67,690
2014,2,68,741
2014,3,69,671
2014,4,70,617
2014,5,71,585
2014,6,72,534
2014,7,73,550
2014,8,74,526
2014,9,75,563
2014,10,76,494
2014,11,77,460
2014,12,78,463
2015,1,79,475
2015,2,80,517
2015,3,81,495
2015,4,82,426
2015,5,83,463
2015,6,84,457
2015,7,85,458
2015,8,86,417
2015,9,87,420
2015,10,88,370
2015,11,89,419
2015,12,90,412
2016,1,91,406
2016,2,92,417
2016,3,93,395
2016,4,94,394
2016,5,95,375
2016,6,96,381
2016,7,97,395
2016,8,98,341
2016,9,99,385
2016,10,100,346
2016,11,101,347
2016,12,102,353
2017,1,103,359
2017,2,104,
