Year,Month,MonthNum,Tags
2008,7,1,0
2008,8,2,6
2008,9,3,17
2008,10,4,9
2008,11,5,11
2008,12,6,30
2009,1,7,37
2009,2,8,91
2009,3,9,101
2009,4,10,110
2009,5,11,150
2009,6,12,174
2009,7,13,212
2009,8,14,213
2009,9,15,231
2009,10,16,240
2009,11,17,204
2009,12,18,241
2010,1,19,198
2010,2,20,247
2010,3,21,272
2010,4,22,271
2010,5,23,363
2010,6,24,368
2010,7,25,453
2010,8,26,454
2010,9,27,407
2010,10,28,292
2010,11,29,330
2010,12,30,348
2011,1,31,316
2011,2,32,349
2011,3,33,378
2011,4,34,343
2011,5,35,283
2011,6,36,251
2011,7,37,266
2011,8,38,215
2011,9,39,190
2011,10,40,163
2011,11,41,120
2011,12,42,159
2012,1,43,162
2012,2,44,168
2012,3,45,167
2012,4,46,179
2012,5,47,157
2012,6,48,113
2012,7,49,95
2012,8,50,96
2012,9,51,79
2012,10,52,58
2012,11,53,33
2012,12,54,54
2013,1,55,49
2013,2,56,33
2013,3,57,32
2013,4,58,28
2013,5,59,16
2013,6,60,31
2013,7,61,12
2013,8,62,23
2013,9,63,20
2013,10,64,12
2013,11,65,5
2013,12,66,11
2014,1,67,17
2014,2,68,14
2014,3,69,2
2014,4,70,4
2014,5,71,3
2014,6,72,4
2014,7,73,1
2014,8,74,11
2014,9,75,6
2014,10,76,2
2014,11,77,5
2014,12,78,2
2015,1,79,5
2015,2,80,2
2015,3,81,3
2015,4,82,5
2015,5,83,4
2015,6,84,3
2015,7,85,0
2015,8,86,1
2015,9,87,0
2015,10,88,4
2015,11,89,0
2015,12,90,0
2016,1,91,4
2016,2,92,1
2016,3,93,5
2016,4,94,2
2016,5,95,3
2016,6,96,5
2016,7,97,4
2016,8,98,1
2016,9,99,2
2016,10,100,3
2016,11,101,6
2016,12,102,4
2017,1,103,4
2017,2,104,
