Year,Month,MonthNum,Tags
2008,7,1,1
2008,8,2,15
2008,9,3,38
2008,10,4,34
2008,11,5,27
2008,12,6,34
2009,1,7,55
2009,2,8,58
2009,3,9,54
2009,4,10,59
2009,5,11,101
2009,6,12,92
2009,7,13,87
2009,8,14,106
2009,9,15,138
2009,10,16,163
2009,11,17,132
2009,12,18,233
2010,1,19,204
2010,2,20,273
2010,3,21,192
2010,4,22,242
2010,5,23,236
2010,6,24,293
2010,7,25,266
2010,8,26,321
2010,9,27,398
2010,10,28,379
2010,11,29,388
2010,12,30,384
2011,1,31,390
2011,2,32,620
2011,3,33,577
2011,4,34,540
2011,5,35,458
2011,6,36,379
2011,7,37,442
2011,8,38,471
2011,9,39,561
2011,10,40,604
2011,11,41,533
2011,12,42,537
2012,1,43,639
2012,2,44,749
2012,3,45,776
2012,4,46,596
2012,5,47,566
2012,6,48,721
2012,7,49,686
2012,8,50,654
2012,9,51,865
2012,10,52,808
2012,11,53,745
2012,12,54,776
2013,1,55,906
2013,2,56,1028
2013,3,57,1064
2013,4,58,804
2013,5,59,827
2013,6,60,897
2013,7,61,891
2013,8,62,1109
2013,9,63,1458
2013,10,64,1318
2013,11,65,1098
2013,12,66,942
2014,1,67,1128
2014,2,68,1315
2014,3,69,1257
2014,4,70,918
2014,5,71,813
2014,6,72,934
2014,7,73,894
2014,8,74,1076
2014,9,75,1274
2014,10,76,1120
2014,11,77,992
2014,12,78,1021
2015,1,79,1073
2015,2,80,1344
2015,3,81,1212
2015,4,82,995
2015,5,83,1044
2015,6,84,961
2015,7,85,835
2015,8,86,1140
2015,9,87,1388
2015,10,88,1340
2015,11,89,1081
2015,12,90,998
2016,1,91,1197
2016,2,92,1411
2016,3,93,1371
2016,4,94,1066
2016,5,95,896
2016,6,96,737
2016,7,97,779
2016,8,98,951
2016,9,99,1078
2016,10,100,1012
2016,11,101,802
2016,12,102,777
2017,1,103,1137
2017,2,104,
