Year,Month,MonthNum,Tags
2008,7,1,8
2008,8,2,45
2008,9,3,41
2008,10,4,38
2008,11,5,42
2008,12,6,53
2009,1,7,72
2009,2,8,76
2009,3,9,69
2009,4,10,106
2009,5,11,111
2009,6,12,145
2009,7,13,135
2009,8,14,122
2009,9,15,155
2009,10,16,171
2009,11,17,199
2009,12,18,219
2010,1,19,205
2010,2,20,179
2010,3,21,237
2010,4,22,257
2010,5,23,318
2010,6,24,295
2010,7,25,348
2010,8,26,323
2010,9,27,324
2010,10,28,397
2010,11,29,386
2010,12,30,368
2011,1,31,433
2011,2,32,556
2011,3,33,556
2011,4,34,560
2011,5,35,551
2011,6,36,566
2011,7,37,659
2011,8,38,600
2011,9,39,568
2011,10,40,610
2011,11,41,574
2011,12,42,599
2012,1,43,654
2012,2,44,689
2012,3,45,681
2012,4,46,745
2012,5,47,719
2012,6,48,750
2012,7,49,779
2012,8,50,703
2012,9,51,771
2012,10,52,782
2012,11,53,751
2012,12,54,905
2013,1,55,879
2013,2,56,911
2013,3,57,1002
2013,4,58,868
2013,5,59,960
2013,6,60,1077
2013,7,61,964
2013,8,62,974
2013,9,63,1133
2013,10,64,991
2013,11,65,957
2013,12,66,1053
2014,1,67,1097
2014,2,68,1121
2014,3,69,1016
2014,4,70,855
2014,5,71,818
2014,6,72,868
2014,7,73,870
2014,8,74,835
2014,9,75,890
2014,10,76,849
2014,11,77,757
2014,12,78,885
2015,1,79,830
2015,2,80,954
2015,3,81,930
2015,4,82,998
2015,5,83,945
2015,6,84,1047
2015,7,85,967
2015,8,86,917
2015,9,87,1002
2015,10,88,1011
2015,11,89,1043
2015,12,90,1026
2016,1,91,1058
2016,2,92,1157
2016,3,93,1156
2016,4,94,1195
2016,5,95,1099
2016,6,96,1067
2016,7,97,1062
2016,8,98,986
2016,9,99,1018
2016,10,100,1146
2016,11,101,978
2016,12,102,1068
2017,1,103,1183
2017,2,104,
