Year,Month,MonthNum,Tags
2008,7,1,9
2008,8,2,27
2008,9,3,26
2008,10,4,30
2008,11,5,33
2008,12,6,38
2009,1,7,51
2009,2,8,54
2009,3,9,80
2009,4,10,83
2009,5,11,109
2009,6,12,69
2009,7,13,84
2009,8,14,93
2009,9,15,123
2009,10,16,141
2009,11,17,143
2009,12,18,193
2010,1,19,121
2010,2,20,175
2010,3,21,114
2010,4,22,149
2010,5,23,187
2010,6,24,257
2010,7,25,248
2010,8,26,179
2010,9,27,244
2010,10,28,254
2010,11,29,237
2010,12,30,208
2011,1,31,308
2011,2,32,346
2011,3,33,335
2011,4,34,300
2011,5,35,287
2011,6,36,358
2011,7,37,378
2011,8,38,344
2011,9,39,338
2011,10,40,375
2011,11,41,379
2011,12,42,414
2012,1,43,405
2012,2,44,477
2012,3,45,489
2012,4,46,482
2012,5,47,458
2012,6,48,455
2012,7,49,488
2012,8,50,498
2012,9,51,590
2012,10,52,624
2012,11,53,538
2012,12,54,572
2013,1,55,596
2013,2,56,660
2013,3,57,689
2013,4,58,630
2013,5,59,583
2013,6,60,751
2013,7,61,600
2013,8,62,636
2013,9,63,874
2013,10,64,729
2013,11,65,718
2013,12,66,733
2014,1,67,780
2014,2,68,940
2014,3,69,877
2014,4,70,596
2014,5,71,623
2014,6,72,710
2014,7,73,669
2014,8,74,699
2014,9,75,739
2014,10,76,783
2014,11,77,623
2014,12,78,649
2015,1,79,785
2015,2,80,888
2015,3,81,863
2015,4,82,803
2015,5,83,834
2015,6,84,867
2015,7,85,750
2015,8,86,844
2015,9,87,1057
2015,10,88,880
2015,11,89,866
2015,12,90,778
2016,1,91,943
2016,2,92,1134
2016,3,93,1019
2016,4,94,829
2016,5,95,911
2016,6,96,830
2016,7,97,859
2016,8,98,901
2016,9,99,1047
2016,10,100,1068
2016,11,101,842
2016,12,102,900
2017,1,103,1067
2017,2,104,
